Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae,Elephantulus,brachyrhynchus,,Y,0,0,0,,105,26,24.76190476
Elephantulus_edwardii,Macroscelidea,Macroscelididae,Elephantulus,edwardii,,Y,0,0,0,,,,
Elephantulus_fuscipes,Macroscelidea,Macroscelididae,Elephantulus,fuscipes,,,,,,,,,
Elephantulus_fuscus,Macroscelidea,Macroscelididae,Elephantulus,fuscus,,,,,,,,,
Elephantulus_intufi,Macroscelidea,Macroscelididae,Elephantulus,intufi,,,,,,,,,
Elephantulus_myurus,Macroscelidea,Macroscelididae,Elephantulus,myurus,,Y,0,0,0,,,,
Elephantulus_pilicaudus,Macroscelidea,Macroscelididae,Elephantulus,pilicaudus,,,,,,,,,
Elephantulus_revoilii,Macroscelidea,Macroscelididae,Elephantulus,revoilii,,,,,,,,,
Elephantulus_rozeti,Macroscelidea,Macroscelididae,Elephantulus,rozeti,,,,,,,,,
Elephantulus_rufescens,Macroscelidea,Macroscelididae,Elephantulus,rufescens,,Y,0,0,0,,,,
Elephantulus_rupestris,Macroscelidea,Macroscelididae,Elephantulus,rupestris,,,,,,,,,
Macroscelides_flavicaudatus,Macroscelidea,Macroscelididae,Macroscelides,flavicaudatus,,,,,,,,,
Macroscelides_micus,Macroscelidea,Macroscelididae,Macroscelides,micus,,,,,,,,,
Macroscelides_proboscideus,Macroscelidea,Macroscelididae,Macroscelides,proboscideus,,Y,0,0,0,,,,
Petrodromus_tetradactylus,Macroscelidea,Macroscelididae,Petrodromus,tetradactylus,,Y,0,0,0,,,,
Rhynchocyon_chrysopygus,Macroscelidea,Macroscelididae,Rhynchocyon,chrysopygus,,Y,0,0,0,,,,
Rhynchocyon_cirnei,Macroscelidea,Macroscelididae,Rhynchocyon,cirnei,,Y,0,0,0,,,,
Rhynchocyon_petersi,Macroscelidea,Macroscelididae,Rhynchocyon,petersi,,Y,0,0,0,,,,
Rhynchocyon_udzungwensis,Macroscelidea,Macroscelididae,Rhynchocyon,udzungwensis,,,,,,,,,
Amblysomus_corriae,Afrosoricida,Chrysochloridae,Amblysomus,corriae,,,,,,,,,
Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,,Y,0,0,0,,,,
Amblysomus_marleyi,Afrosoricida,Chrysochloridae,Amblysomus,marleyi,,,,,,,,,
Amblysomus_robustus,Afrosoricida,Chrysochloridae,Amblysomus,robustus,,,,,,,,,
Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae,Amblysomus,septentrionalis,,,,,,,,,
Calcochloris_obtusirostris,Afrosoricida,Chrysochloridae,Calcochloris,obtusirostris,,,,,,,,,
Calcochloris_tytonis,Afrosoricida,Chrysochloridae,Calcochloris,tytonis,,,,,,,,,
Carpitalpa_arendsi,Afrosoricida,Chrysochloridae,Carpitalpa,arendsi,,,,,,,,,
Chlorotalpa_duthieae,Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,,,,,,,,,
Chlorotalpa_sclateri,Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,,,,,,,,,
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,,Y,0,0,0,,,,
Chrysochloris_stuhlmanni,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Y,0,0,0,,,,
Chrysochloris_visagiei,Afrosoricida,Chrysochloridae,Chrysochloris,visagiei,,,,,,,,,
Chrysospalax_trevelyani,Afrosoricida,Chrysochloridae,Chrysospalax,trevelyani,,Y,0,0,0,,,,
Chrysospalax_villosus,Afrosoricida,Chrysochloridae,Chrysospalax,villosus,,,,,,,,,
Cryptochloris_wintoni,Afrosoricida,Chrysochloridae,Cryptochloris,wintoni,,,,,,,,,
Cryptochloris_zyli,Afrosoricida,Chrysochloridae,Cryptochloris,zyli,,,,,,,,,
Echinops_telfairi,Afrosoricida,Tenrecidae,Echinops,telfairi,,,,,,,,,
Eremitalpa_granti,Afrosoricida,Chrysochloridae,Eremitalpa,granti,,Y,0,0,0,,,,
Geogale_aurita,Afrosoricida,Tenrecidae,Geogale,aurita,,,,,,,,,
Hemicentetes_nigriceps,Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,,,,,,,,,
Hemicentetes_semispinosus,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,,,,,,,,,
Huetia_leucorhina,Afrosoricida,Chrysochloridae,Huetia,leucorhina,,,,,,,,,
Limnogale_mergulus,Afrosoricida,Tenrecidae,Limnogale,mergulus,,,,,,,,,
Microgale_brevicaudata,Afrosoricida,Tenrecidae,Microgale,brevicaudata,,,,,,,,,
Microgale_cowani,Afrosoricida,Tenrecidae,Microgale,cowani,,,,,,,,,
Microgale_dobsoni,Afrosoricida,Tenrecidae,Microgale,dobsoni,,,,,,,,,
Microgale_drouhardi,Afrosoricida,Tenrecidae,Microgale,drouhardi,,,,,,,,,
Microgale_dryas,Afrosoricida,Tenrecidae,Microgale,dryas,,,,,,,,,
Microgale_fotsifotsy,Afrosoricida,Tenrecidae,Microgale,fotsifotsy,,,,,,,,,
Microgale_gracilis,Afrosoricida,Tenrecidae,Microgale,gracilis,,,,,,,,,
Microgale_grandidieri,Afrosoricida,Tenrecidae,Microgale,grandidieri,,,,,,,,,
Microgale_gymnorhyncha,Afrosoricida,Tenrecidae,Microgale,gymnorhyncha,,,,,,,,,
Microgale_jenkinsae,Afrosoricida,Tenrecidae,Microgale,jenkinsae,,,,,,,,,
Microgale_jobihely,Afrosoricida,Tenrecidae,Microgale,jobihely,,,,,,,,,
Microgale_longicaudata,Afrosoricida,Tenrecidae,Microgale,longicaudata,,,,,,,,,
Microgale_macpheei,Afrosoricida,Tenrecidae,Microgale,macpheei,,,,,,,,,
Microgale_majori,Afrosoricida,Tenrecidae,Microgale,majori,,,,,,,,,
Microgale_monticola,Afrosoricida,Tenrecidae,Microgale,monticola,,,,,,,,,
Microgale_nasoloi,Afrosoricida,Tenrecidae,Microgale,nasoloi,,,,,,,,,
Microgale_parvula,Afrosoricida,Tenrecidae,Microgale,parvula,,,,,,,,,
Microgale_principula,Afrosoricida,Tenrecidae,Microgale,principula,,,,,,,,,
Microgale_pusilla,Afrosoricida,Tenrecidae,Microgale,pusilla,,,,,,,,,
Microgale_soricoides,Afrosoricida,Tenrecidae,Microgale,soricoides,,,,,,,,,
Microgale_taiva,Afrosoricida,Tenrecidae,Microgale,taiva,,,,,,,,,
Microgale_talazaci,Afrosoricida,Tenrecidae,Microgale,talazaci,,,,,,,,,
Microgale_thomasi,Afrosoricida,Tenrecidae,Microgale,thomasi,,,,,,,,,
Micropotamogale_lamottei,Afrosoricida,Tenrecidae,Micropotamogale,lamottei,,,,,,,,,
Micropotamogale_ruwenzorii,Afrosoricida,Tenrecidae,Micropotamogale,ruwenzorii,,,,,,,,,
Neamblysomus_gunningi,Afrosoricida,Chrysochloridae,Neamblysomus,gunningi,,,,,,,,,
Neamblysomus_julianae,Afrosoricida,Chrysochloridae,Neamblysomus,julianae,,,,,,,,,
Oryzorictes_hova,Afrosoricida,Tenrecidae,Oryzorictes,hova,,,,,,,,,
Oryzorictes_tetradactylus,Afrosoricida,Tenrecidae,Oryzorictes,tetradactylus,,,,,,,,,
Plesiorycteropus_madagascariensis,Afrosoricida,Tenrecidae,Plesiorycteropus,madagascariensis,,,,,,,,,
Potamogale_velox,Afrosoricida,Tenrecidae,Potamogale,velox,,,,,,,,,
Setifer_setosus,Afrosoricida,Tenrecidae,Setifer,setosus,,Y,0,0,0,,,,
Tenrec_ecaudatus,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,Y,0,0,0,,,,
Orycteropus_afer,Tubulidentata,Orycteropodidae,Orycteropus,afer,,Y,0,0,0,,,,
Cuvieronius_hyodon,Proboscidea,Gomphotheriidae,Cuvieronius,hyodon,,,,,,,,,
Elephas_antiquus,Proboscidea,Elephantidae,Elephas,antiquus,,,,,,,,,
Elephas_cypriotes,Proboscidea,Elephantidae,Elephas,cypriotes,,,,,,,,,
Elephas_iolensis,Proboscidea,Elephantidae,Elephas,iolensis,,,,,,,,,
Elephas_maximus,Proboscidea,Elephantidae,Elephas,maximus,,Y,1,1,1,,,,
Elephas_mnaidriensis,Proboscidea,Elephantidae,Elephas,mnaidriensis,,,,,,,,,
Elephas_namadicus,Proboscidea,Elephantidae,Elephas,namadicus,,,,,,,,,
Elephas_naumanii,Proboscidea,Elephantidae,Elephas,naumanii,,,,,,,,,
Elephas_tiliensis,Proboscidea,Elephantidae,Elephas,tiliensis,,,,,,,,,
Loxodonta_africana,Proboscidea,Elephantidae,Loxodonta,africana,,Y,1,1,1,,,,
Mammut_americanum,Proboscidea,Mammutidae,Mammut,americanum,,,,,,,,,
Mammuthus_columbi,Proboscidea,Elephantidae,Mammuthus,columbi,,,,,,,,,
Mammuthus_exilis,Proboscidea,Elephantidae,Mammuthus,exilis,,,,,,,,,
Mammuthus_primigenius,Proboscidea,Elephantidae,Mammuthus,primigenius,,,,,,,,,
Notiomastodon_platensis,Proboscidea,Gomphotheriidae,Notiomastodon,platensis,,,,,,,,,
Stegodon_florensis,Proboscidea,Stegodontidae,Stegodon,florensis,,,,,,,,,
Stegodon_orientalis,Proboscidea,Stegodontidae,Stegodon,orientalis,,,,,,,,,
Stegodon_trigonocephalus,Proboscidea,Stegodontidae,Stegodon,trigonocephalus,,,,,,,,,
Dendrohyrax_arboreus,Hyracoidea,Procaviidae,Dendrohyrax,arboreus,,Y,0,0,0,,,,
Dendrohyrax_dorsalis,Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,,Y,0,0,0,,,,
Dendrohyrax_validus,Hyracoidea,Procaviidae,Dendrohyrax,validus,,,,,,,,,
Heterohyrax_brucei,Hyracoidea,Procaviidae,Heterohyrax,brucei,,Y,0,0,0,,,,
Procavia_capensis,Hyracoidea,Procaviidae,Procavia,capensis,,Y,0,0,0,,,,
Dugong_dugon,Sirenia,Dugongidae,Dugong,dugon,,Y,0,1,1,,,,
Hydrodamalis_gigas,Sirenia,Dugongidae,Hydrodamalis,gigas,,,,,,,,,
Trichechus_inunguis,Sirenia,Trichechidae,Trichechus,inunguis,,,,,,,,,
Trichechus_manatus,Sirenia,Trichechidae,Trichechus,manatus,,Y,0,1,1,,,,
Trichechus_senegalensis,Sirenia,Trichechidae,Trichechus,senegalensis,,Y,0,0,0,,,,