Taxon,SSB
Caenolestes_caniventer,?
Caenolestes_condorensis,?
Caenolestes_convelatus,?
Caenolestes_fuliginosus,?
Caenolestes_sangay,?
Lestoros_inca,?
Rhyncholestes_raphanurus,?
Caluromys_derbianus,0
Caluromys_lanatus,?
Caluromys_philander,0
Caluromysiops_irrupta,0
Chacodelphys_formosa,?
Chironectes_minimus,0
Cryptonanus_agricolai,?
Cryptonanus_chacoensis,?
Cryptonanus_guahybae,?
Cryptonanus_ignitus,?
Cryptonanus_unduaviensis,?
Didelphis_albiventris,0
Didelphis_aurita,0
Didelphis_imperfecta,?
Didelphis_marsupialis,0
Didelphis_pernigra,0
Didelphis_virginiana,0
Glironia_venusta,?
Gracilinanus_aceramarcae,?
Gracilinanus_agilis,0
Gracilinanus_dryas,?
Gracilinanus_emiliae,?
Gracilinanus_marica,?
Gracilinanus_microtarsus,?
Hyladelphys_kalinowskii,?
Lestodelphys_halli,?
Lutreolina_crassicaudata,0
Lutreolina_massoia,?
Marmosa_alstoni,?
Marmosa_andersoni,?
Marmosa_constantiae,?
Marmosa_demerarae,0
Marmosa_lepida,?
Marmosa_mexicana,?
Marmosa_murina,0
Marmosa_paraguayanus,0
Marmosa_phaea,?
Marmosa_quichua,?
Marmosa_regina,?
Marmosa_robinsoni,0
Marmosa_rubra,?
Marmosa_tyleriana,?
Marmosa_xerophila,?
Marmosops_bishopi,?
Marmosops_cracens,?
Marmosops_creightoni,?
Marmosops_fuscatus,0
Marmosops_handleyi,?
Marmosops_impavidus,?
Marmosops_incanus,?
Marmosops_invictus,?
Marmosops_juninensis,?
Marmosops_neblina,?
Marmosops_noctivagus,0
Marmosops_ocellatus,?
Marmosops_pakaraimae,?
Marmosops_parvidens,0
Marmosops_paulensis,0
Marmosops_pinheiroi,?
Metachirus_nudicaudatus,0
Monodelphis_adusta,?
Monodelphis_americana,0
Monodelphis_brevicaudata,0
Monodelphis_dimidiata,0
Monodelphis_domestica,0
Monodelphis_emiliae,?
Monodelphis_glirina,?
Monodelphis_handleyi,?
Monodelphis_iheringi,?
Monodelphis_kunsi,?
Monodelphis_osgoodi,?
Monodelphis_palliolata,?
Monodelphis_peruviana,?
Monodelphis_reigi,?
Monodelphis_ronaldi,?
Monodelphis_scalops,?
Monodelphis_unistriata,?
Philander_andersoni,?
Philander_deltae,?
Philander_frenatus,?
Philander_mcilhennyi,?
Philander_mondolfii,?
Philander_olrogi,?
Philander_opossum,0
Thylamys_cinderella,?
Thylamys_citellus,?
Thylamys_elegans,0
Thylamys_fenestrae,?
Thylamys_karimii,?
Thylamys_macrurus,?
Thylamys_pallidior,?
Thylamys_pulchellus,?
Thylamys_pusillus,0
Thylamys_tatei,?
Thylamys_velutinus,0
Thylamys_venustus,?
Tlacuatzin_canescens,0
Dromiciops_gliroides,0
Notoryctes_caurinus,?
Notoryctes_typhlops,?
Antechinomys_laniger,?
Antechinus_adustus,?
Antechinus_agilis,0
Antechinus_bellus,0
Antechinus_flavipes,0
Antechinus_godmani,0
Antechinus_leo,0
Antechinus_minimus,0
Antechinus_stuartii,1
Antechinus_subtropicus,?
Antechinus_swainsonii,0
Dasycercus_blythi,?
Dasycercus_cristicauda,?
Dasykaluta_rosamondae,?
Dasyuroides_byrnei,?
Dasyurus_albopunctatus,?
Dasyurus_geoffroii,0
Dasyurus_hallucatus,1
Dasyurus_maculatus,0
Dasyurus_spartacus,?
Dasyurus_viverrinus,0
Murexia_habbema,?
Murexia_longicaudata,?
Murexia_melanurus,0
Murexia_naso,0
Murexia_rothschildi,?
Myoictis_leucura,?
Myoictis_melas,?
Myoictis_wallacei,?
Myoictis_wavicus,?
Myrmecobius_fasciatus,0
Neophascogale_lorentzii,?
Ningaui_ridei,?
Ningaui_timealeyi,?
Ningaui_yvonneae,?
Parantechinus_apicalis,0
Phascogale_calura,?
Phascogale_pirata,?
Phascogale_tapoatafa,0
Phascolosorex_doriae,?
Phascolosorex_dorsalis,?
Planigale_gilesi,0
Planigale_ingrami,?
Planigale_maculata,?
Planigale_novaeguineae,?
Planigale_tenuirostris,?
Pseudantechinus_bilarni,?
Pseudantechinus_macdonnellensis,?
Pseudantechinus_mimulus,?
Pseudantechinus_ningbing,?
Pseudantechinus_roryi,?
Pseudantechinus_woolleyae,?
Sarcophilus_harrisii,1
Sminthopsis_aitkeni,?
Sminthopsis_archeri,?
Sminthopsis_bindi,?
Sminthopsis_butleri,?
Sminthopsis_crassicaudata,1
Sminthopsis_dolichura,?
Sminthopsis_douglasi,?
Sminthopsis_fuliginosus,?
Sminthopsis_gilberti,?
Sminthopsis_granulipes,?
Sminthopsis_griseoventer,?
Sminthopsis_hirtipes,0
Sminthopsis_leucopus,0
Sminthopsis_longicaudata,?
Sminthopsis_macroura,0
Sminthopsis_murina,0
Sminthopsis_ooldea,?
Sminthopsis_psammophila,?
Sminthopsis_virginiae,?
Sminthopsis_youngsoni,0
Thylacinus_cynocephalus,?
Chaeropus_ecaudatus,?
Echymipera_clara,0
Echymipera_davidi,?
Echymipera_echinista,?
Echymipera_kalubu,0
Echymipera_rufescens,?
Isoodon_auratus,0
Isoodon_macrourus,0
Isoodon_obesulus,0
Macrotis_lagotis,0
Macrotis_leucura,?
Microperoryctes_aplini,?
Microperoryctes_longicauda,?
Microperoryctes_murina,?
Microperoryctes_papuensis,?
Perameles_bougainville,0
Perameles_eremiana,?
Perameles_gunnii,0
Perameles_nasuta,0
Peroryctes_broadbenti,?
Peroryctes_raffrayana,?
Peroryctes_spA,?
PeroryctinaeGen_spA,?
Rhynchomeles_prattorum,?
Acrobates_pygmaeus,0
Aepyprymnus_rufescens,1
Ailurops_melanotis,?
Ailurops_ursinus,0
Bettongia_anhydra,?
Bettongia_gaimardi,1
Bettongia_lesueur,0
Bettongia_penicillata,0
Bettongia_pusilla,?
Bettongia_tropica,0
Borungaboodie_hatcheri,?
Burramys_parvus,0
Caloprymnus_campestris,?
Cercartetus_caudatus,0
Cercartetus_concinnus,?
Cercartetus_lepidus,?
Cercartetus_nanus,0
Dactylonax_palpator,?
Dactylopsila_kambuayai,?
Dactylopsila_megalura,?
Dactylopsila_tatei,?
Dactylopsila_trivirgata,0
Dendrolagus_bennettianus,0
Dendrolagus_dorianus,1
Dendrolagus_goodfellowi,?
Dendrolagus_inustus,0
Dendrolagus_lumholtzi,0
Dendrolagus_matschiei,1
Dendrolagus_mayri,?
Dendrolagus_mbaiso,?
Dendrolagus_notatus,?
Dendrolagus_pulcherrimus,?
Dendrolagus_scottae,?
Dendrolagus_spadix,?
Dendrolagus_stellarum,?
Dendrolagus_ursinus,?
Diprotodon_optatum,?
Distoechurus_pennatus,?
Dorcopsis_atrata,?
Dorcopsis_hageni,0
Dorcopsis_luctuosa,?
Dorcopsis_muelleri,?
Dorcopsulus_macleayi,?
Dorcopsulus_vanheurni,?
Gymnobelideus_leadbeateri,0
Hemibelideus_lemuroides,0
Hypsiprymnodon_moschatus,0
Lagorchestes_asomatus,?
Lagorchestes_conspicillatus,0
Lagorchestes_hirsutus,0
Lagorchestes_leporides,?
Lagostrophus_fasciatus,0
Lasiorhinus_krefftii,0
Lasiorhinus_latifrons,0
Macropus_agilis,1
Macropus_antilopinus,0
Macropus_bernardus,?
Macropus_dorsalis,0
Macropus_eugenii,1
Macropus_ferragus,?
Macropus_fuliginosus,1
Macropus_giganteus,1
Macropus_greyi,?
Macropus_irma,0
Macropus_parma,?
Macropus_parryi,1
Macropus_pearsoni,?
Macropus_robustus,1
Macropus_rufogriseus,1
Macropus_rufus,1
Maokopia_ronaldi,?
Metasthenurus_newtonae,?
Onychogalea_fraenata,0
Onychogalea_lunata,?
Onychogalea_unguifera,?
Palorchestes_azeal,?
Petauroides_ayamaruensis,?
Petauroides_volans,0
Petaurus_abidi,?
Petaurus_australis,0
Petaurus_biacensis,?
Petaurus_breviceps,0
Petaurus_gracilis,0
Petaurus_norfolcensis,0
Petrogale_assimilis,0
Petrogale_brachyotis,?
Petrogale_burbidgei,?
Petrogale_coenensis,?
Petrogale_concinna,?
Petrogale_godmani,?
Petrogale_herberti,?
Petrogale_inornata,?
Petrogale_lateralis,1
Petrogale_mareeba,?
Petrogale_penicillata,0
Petrogale_persephone,0
Petrogale_purpureicollis,?
Petrogale_rothschildi,?
Petrogale_sharmani,?
Petrogale_xanthopus,1
Petropseudes_dahli,0
Phalanger_alexandrae,?
Phalanger_carmelitae,?
Phalanger_gymnotis,0
Phalanger_intercastellanus,?
Phalanger_lullulae,?
Phalanger_matabiru,?
Phalanger_matanim,?
Phalanger_mimicus,?
Phalanger_orientalis,0
Phalanger_ornatus,?
Phalanger_rothschildi,?
Phalanger_sericeus,?
Phalanger_vestitus,?
Phascolarctos_cinereus,1
Phascolonus_gigas,?
Potorous_gilbertii,?
Potorous_longipes,0
Potorous_platyops,?
Potorous_tridactylus,0
Procoptodon_browneorum,?
Procoptodon_gilli,?
Procoptodon_goliah,?
Procoptodon_oreas,?
Procoptodon_rapha,?
Propleopus_oscillans,?
Protemnodon_anak,?
Protemnodon_brehus,?
Protemnodon_hopei,?
Protemnodon_nombe,?
Protemnodon_roechus,?
Protemnodon_tumbuna,?
Pseudocheirus_occidentalis,?
Pseudocheirus_peregrinus,0
Pseudochirops_albertisii,?
Pseudochirops_archeri,0
Pseudochirops_corinnae,?
Pseudochirops_coronatus,?
Pseudochirops_cupreus,?
Pseudochirulus_canescens,?
Pseudochirulus_caroli,?
Pseudochirulus_cinereus,0
Pseudochirulus_forbesi,?
Pseudochirulus_herbertensis,0
Pseudochirulus_larvatus,?
Pseudochirulus_mayeri,?
Pseudochirulus_schlegeli,?
Setonix_brachyurus,1
Simosthenurus_maddocki,?
Simosthenurus_occidentalis,?
Simosthenurus_pales,?
Spilocuscus_kraemeri,?
Spilocuscus_maculatus,0
Spilocuscus_papuensis,?
Spilocuscus_rufoniger,?
Spilocuscus_wilsoni,?
Sthenurus_andersoni,?
Sthenurus_atlas,?
Sthenurus_stirlingi,?
Sthenurus_tindalei,?
Strigocuscus_celebensis,?
Strigocuscus_pelengensis,?
Tarsipes_rostratus,0
Thylacoleo_carnifex,?
Thylogale_billardierii,0
Thylogale_browni,?
Thylogale_brunii,?
Thylogale_calabyi,?
Thylogale_christenseni,?
Thylogale_lanatus,?
Thylogale_stigmatica,0
Thylogale_thetis,0
Trichosurus_caninus,0
Trichosurus_cunninghami,?
Trichosurus_vulpecula,1
Troposodon_minor,?
Vombatus_hacketti,?
Vombatus_ursinus,0
Wallabia_bicolor,1
Wallabia_kitcheneri,?
Warendja_wakefieldi,?
Wyulda_squamicaudata,0
Zygomaturus_trilobus,?
