Species,Common_Name,GP,BM,AFM,MR,RDM,TSP,PC,FWA,FAM,MAM,NB,SDT,GL,SPI,NAC,GIM,GFE,MMC,BG,MGS,DHE,DCA,DPMI,DIN,DFR,DGR,DCE,DMOC,IUCN,SOG,Modifiers,FSSB,MSSB,SSB,Column Name Key,Mating Group Structures Key
Acinonyx_jubatus,Cheetah,3.1,0.275,43.0000,0.006395348837,N,N,4.0,3.6,30.0,18.0,Y,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,VU,Y,OG,1,1,1,GP = Gestation Period (m),SOL = Solitary
Acomys_cahirinus,Northeast African Spiny Mouse,1.3,0.00549,0.0400,0.13725,N,N,2.4,0.5,1.9,2.0,Y,N,Y,N,Y,Y,Y,N,N,FEG,Y,N,N,Y,N,Y,N,N,LC,,,0,0,0,BM = Birth Mass (kg),MOP = Monogamous Pairs
Aepyceros_melampus,Impala,6.7,5.25,45.0000,0.1166666667,Y,Y,1.0,6.0,15.9,17.0,Y,Y,Y,N,N,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,AFM = Adult Female Mass (kg),HAR = Harems
Ailuropoda_melanoleuca,Giant Panda,4.3,0.14,85.0000,0.001647058824,N,N,1.6,6.0,78.4,73.1,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,Y,VU,N,,0,0,0,MR = Birth Mass to Maternal Mass Ratio,HBG = Harems with Bachelor Groups
Ailurus_fulgens,Red Panda,4.4,0.12,4.5000,0.02666666667,N,N,1.9,4.6,19.1,18.3,N,N,N,N,Y,N,N,N,N,SO,Y,N,N,Y,Y,N,N,Y,VU,Y,OG,0,0,0,RDM = Radically Dimorphic Morphology?,MMG = Multimale-Multifemale Groups
Alces_alces,Moose (Eurasian Elk),7.8,13,270.0000,0.04814814815,Y,Y,1.3,4.5,16.5,16.5,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,OG,1,1,1,TSP = Typically Single Progeny?,MBG = Multimale-Multifemale with Bachelor Groups
Alopex_lagopus,Arctic Fox,1.8,0.0825,3.4150,0.02415812592,N,N,4.8,1.7,10.1,10.1,N,Y,N,Y,Y,N,N,N,N,MOP,N,Y,N,N,N,N,N,N,LC,Y,OG,0,0,0,PC = Progeny Count,FEG = Female Exclusive Groups
Alouatta_caraya,Black Howler,6.0,0.2606,5.0500,0.0516039604,Y,Y,1.0,10.5,38.5,30.9,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,N,NT,,SH,0,0,0,FWA = Fully Weaned Age (m),SSG = Segrated Sex Groups
Alouatta_palliata,Mantled Howler,6.2,0.31829,5.2500,0.06062666667,N,Y,1.0,15.5,38.0,42.6,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,N,N,N,VU,,SH,0,0,0,FAM = Female Age of Maturity (m),HVG = Highly Variable Group Structure
Alouatta_pigra,Guatemalan Black Howler,6.2,0.48,5.8000,0.08275862069,N,Y,1.0,20.0,,,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,N,N,N,EN,,SH,0,0,0,MAM = Male age of Maturity (m),
Alouatta_seniculus,Venezuelan Red Howler,6.3,0.29342,5.5000,0.05334909091,Y,Y,1.4,12.3,49.0,56.3,Y,Y,Y,N,Y,Y,N,Y,Y,MBG,Y,N,N,N,Y,N,N,N,LC,,"SH, SS",0,0,0,NB = Nonseasonal Breeding?,
Antechinus_stuartii,Brown Antechinus,0.9,0.00001,0.0280,0.0003571428571,Y,N,6.9,3.0,9.8,9.5,N,N,Y,N,N,Y,N,Y,N,MMG,N,N,N,Y,N,N,N,N,LC,,"AS, SS",1,1,1,SDT = Some Degree of Territoriality?,
Antidorcas_marsupialis,Cape Springbok,6.7,3.84148,26.5000,0.1449615094,Y,Y,1.0,3.0,12.0,18.8,N,Y,Y,N,N,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,GL = Group Living (Beyond families)?,
Antilocapra_americana,Pronghorn,8.2,3.5,45.0000,0.07777777778,Y,N,1.9,2.9,16.0,18.2,N,N,Y,N,N,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,LC,,,1,1,1,SPI = Strong Paternal Involvement?,
Antilope_cervicapra,Blackbuck,5.3,3.38614,30.0000,0.1128713333,Y,Y,1.0,2.0,15.5,18.0,Y,Y,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,SS,1,1,1,NAC = Notable Alloparental Care (Beyond Alerts)?,
Antrozous_pallidus,Pallid Bat,2.0,0.00309,0.0215,0.1437209302,N,N,1.8,1.7,12.2,12.2,N,N,Y,N,N,Y,N,Y,N,MMG,N,N,N,Y,N,N,N,Y,LC,,"MC, AS, DI",0,0,0,GIM = Grouped in mating?,
Aonyx_capensis,African Clawless Otter,2.1,1.0500,13.5000,0.07777777778,N,N,2.6,1.8,12.3,12.2,Y,Y,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,Y,NT,Y,OG,0,0,0,GFE = Generally Female Exclusive Groups?,
Aotus_trivirgatus,Three-striped Night Monkey,4.4,0.09649,0.7360,0.1311005435,N,Y,1.1,2.5,27.4,24.3,Y,N,N,Y,N,N,N,N,N,MOP,Y,N,N,N,Y,Y,N,Y,LC,N,,0,0,0,MMC = Multimale Coed Groups?,
Apodemus_agrarius,Striped Field Mouse,0.7,0.0018,0.0270,0.06666666667,N,N,5.6,0.9,2.5,2.4,N,N,N,N,N,N,N,N,N,SO,Y,N,N,Y,Y,Y,N,N,LC,Y,OG,0,0,0,BG = Bachelor Groups?,
Apodemus_flavicollis,Yellow-necked Field Mouse,0.8,0.0023,0.0390,0.05897435897,N,N,5.2,0.7,1.7,1.7,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,Y,N,N,LC,Y,OG,0,0,0,MGS = Mating Group Structure,
Apodemus_sylvaticus,Long-tailed Field Mouse,0.7,0.0015,0.0220,0.06818181818,N,N,4.8,0.6,2.4,2.2,Y,N,Y,N,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,N,LC,,,0,0,0,DHE = Diet: Herbivorous?,
Arctocephalus_australis,South American Fur Seal,8.2,4.44971,45.0000,0.09888244444,Y,Y,1.0,16.0,48.0,85.1,N,N,N,N,N,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,N,"DI, MA, AS",0,0,0,DCA = Diet: Carnivorous?,
Arctocephalus_forsteri,Australasian Fur Seal,8.1,3.7,40.0000,0.0925,Y,Y,1.0,10.0,48.6,85.2,N,N,N,N,N,Y,N,Y,N,MMG,N,Y,Y,N,N,N,N,N,LC,Y,"DI, MA, AS, OG",0,0,0,DPMI = Diet: Piscivorous/Marine Inverts?,
Arctocephalus_gazella,Antarctic Fur Seal,8.5,5.79463,40.0000,0.14486575,Y,Y,1.0,4.0,36.5,85.2,N,N,N,N,N,Y,N,Y,Y,MBG,N,Y,Y,N,N,N,N,N,LC,Y,"DI, MA, AS, OG",0,0,0,DIN = Diet: Insectivorous?,
Arctocephalus_pusillus,Brown Fur Seal,8.9,5.75,57.0000,0.100877193,Y,Y,1.0,11.0,54.0,126.0,N,N,Y,N,N,Y,N,Y,N,MMG,N,Y,N,N,N,N,N,N,LC,,"DI, AS, SS",0,0,0,DFR = Diet: Frugivorous?,
Arctocephalus_tropicalis,Subantarctic Fur Seal,8.1,4.34741,50.0000,0.0869482,Y,Y,1.0,10.5,60.0,51.3,N,N,N,N,N,Y,N,N,N,HAR,N,N,Y,N,N,N,N,Y,LC,Y,"DI, MA, AS, OG",0,0,0,DGR = Diet: Granivorous?,
Ateles_belzebuth,White-fronted Spider Monkey,7.5,,7.9000,,N,Y,1.0,,48.7,60.9,Y,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,N,EN,,SS,0,0,0,DCE = Diet: Carrion Eater?,
Ateles_geoffroyi,Geoffroy's Spider Monkey,7.6,0.42585,7.7000,0.05530519481,N,Y,1.0,25.0,78.0,60.9,Y,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,N,EN,,,0,1,1,DMOC = Diet: Minorly Opportunist Carnivore?,
Ateles_paniscus,Red-faced Spider Monkey,7.6,0.47864,8.4000,0.05698095238,N,Y,1.0,26.8,55.5,42.7,Y,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,N,VU,,,0,0,0,IUCN = IUCN Designation,
Balaena_mysticetus,Bowhead,13.5,900.0000,80000.0000,0.01125,N,Y,1.0,11.7,213.1,273.7,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,Y,"OG, SMG",1,1,1,SOG = Solitary: Occasional Groupings?,
Balaenoptera_acutorostrata,Common Minke Whale,10.1,350,2400.0000,0.1458333333,N,Y,1.0,4.5,72.0,84.0,Y,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,Y,OG,0,0,0,FSSB = Female Same-sex Sexual Behavior,
Balaenoptera_borealis,Sei Whale,10.5,780,30000.0000,0.026,N,Y,1.0,7.0,108.0,108.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,EN,Y,OG,0,0,0,MSSB = Male Same-sex Sexual Behavior,
Balaenoptera_edeni,Bryde's Whale,11.5,900,15800.0000,0.05696202532,N,Y,1.0,6.0,82.0,82.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,Y,"OG, SMG",0,0,0,SSB = Same-sex Sexual Behavior,
Balaenoptera_musculus,Blue Whale,10.9,2500,133000.0000,0.01879699248,N,Y,1.0,6.6,108.0,108.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,EN,Y,"OG, SMG",0,0,0,,
Balaenoptera_physalus,Fin Whale,11.3,1250,78000.0000,0.01602564103,N,Y,1.0,6.6,75.0,54.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,VU,Y,"OG, SMG",0,0,1,,
Barbastella_barbastellus,Western Barbastelle,8.5,0.0021,0.0100,0.21,N,N,1.7,1.4,12.0,,N,N,Y,N,N,Y,N,Y,N,MMG,N,N,N,Y,N,N,N,N,NT,,"MC, AS",0,1,1,,
Bison_bison,American Bison,9.5,20,452.0000,0.04424778761,Y,Y,1.0,12.0,30.4,27.4,N,N,Y,N,Y,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,NT,,SS,1,1,1,,
Bison_bonasus,European Bison,8.9,26,540.0000,0.04814814815,Y,Y,1.0,9.4,32.0,36.0,N,N,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,NT,,SS,1,1,1,,
Blarina_brevicauda,Northern Short-tailed Shrew,0.7,0.00089,0.0205,0.04341463415,N,N,4.5,0.8,1.7,1.7,N,Y,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,Y,LC,N,,0,0,0,,
Bos_gaurus,Gaur,9.2,23,600.0000,0.03833333333,Y,N,1.0,8.0,24.0,26.0,Y,N,Y,N,Y,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,VU,,SS,0,0,0,,
Brachyteles_arachnoides,Southern Muriqui,7.2,0.315,8.5000,0.03705882353,N,Y,1.0,24.0,84.0,84.0,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,N,N,N,CR,,,0,0,0,,
Callicebus_moloch,Red-bellied Titi,5.5,0.0744,0.8600,0.08651162791,N,Y,1.0,2.8,36.5,42.1,N,Y,N,Y,N,N,N,N,N,MOP,Y,N,N,Y,Y,Y,N,Y,LC,N,,0,0,0,,
Callimico_goeldii,Goeldi's Marmoset,5.1,0.0555,0.3550,0.1563380282,N,Y,1.1,3.5,13.0,13.2,N,N,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,VU,,,0,0,0,,
Callithrix_jacchus,Common Marmoset,4.8,0.02774,0.3220,0.08614906832,N,N,2.3,2.0,14.5,11.5,Y,N,Y,Y,Y,Y,N,Y,N,MMG,N,N,N,Y,Y,Y,N,Y,LC,,,0,1,1,,
Callorhinus_ursinus,Northern Fur Seal,8.5,5.3548,50.0000,0.107096,Y,Y,1.0,3.6,48.7,48.0,N,N,N,N,N,Y,N,Y,Y,MBG,N,N,Y,N,N,N,N,N,VU,N,"MA, AS.",1,1,1,,
Canis_latrans,Coyote,2.1,0.257,11.1000,0.02315315315,N,N,5.7,1.6,10.4,9.1,N,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,Y,N,Y,N,LC,,SS,0,0,0,,
Canis_mesomelas,Black-backed Jackal,2.1,0.1772,8.0000,0.02215,N,N,3.9,2.1,10.3,8.4,N,Y,N,Y,Y,N,N,N,N,MOP,N,Y,N,N,N,N,Y,N,LC,N,,0,0,0,,
Canis_simensis,Ethiopian Wolf,2.1,0.2,12.7000,0.0157480315,N,N,4.0,2.3,24.8,24.8,N,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,N,N,N,N,EN,,SS,0,0,0,,
Capra_aegagrus,Wild Goat,5.1,2.9,40.0000,0.0725,Y,N,1.6,,30.0,24.0,N,N,Y,N,N,Y,Y,Y,Y,VGS,Y,N,N,N,N,N,N,N,NT,,,0,1,1,,
Capra_ibex,Alpine Ibex,5.7,2.78,45.0000,0.06177777778,Y,Y,1.1,6.0,18.0,18.0,N,N,Y,N,N,Y,Y,Y,Y,VGS,Y,N,N,N,N,N,N,N,LC,,,0,1,1,,
Capra_pyrenaica,Iberian Ibex,6.0,,36.0000,,Y,N,1.5,,30.0,,N,N,Y,N,N,Y,Y,Y,Y,VGS,Y,N,N,N,N,N,N,N,LC,,,0,1,1,,
Capreolus_capreolus,European Roe,5.0,1.6,23.0000,0.06956521739,Y,N,1.8,2.8,13.8,13.8,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,Y,Y,N,N,LC,Y,"DI, OG",0,1,1,,
Caracal_caracal,Caracal,2.4,0.225,11.0000,0.02045454545,N,N,2.7,4.0,13.5,13.5,Y,N,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Carollia_perspicillata,Seba's Short-tailed Bat,3.5,0.00489,0.0200,0.2445,N,Y,1.0,1.2,8.6,8.6,N,Y,Y,N,N,Y,N,N,Y,HBG,N,N,N,Y,Y,N,N,N,LC,,,0,0,0,,
Castor_canadensis,American Beaver,3.5,0.41517,17.5000,0.023724,N,N,3.6,1.7,21.6,21.3,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,N,,0,0,0,,
Castor_fiber,Eurasian Beaver,3.5,0.55027,17.5000,0.031444,N,N,3.0,2.0,33.1,34.5,N,Y,N,Y,N,N,N,N,N,MOP,Y,N,N,N,N,N,N,N,LC,N,,0,0,0,,
Cavia_aperea,Brazilian Guinea Pig,2.0,0.06,0.6000,0.1,N,N,2.3,0.7,2.0,3.0,Y,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,N,Y,N,N,LC,N,,1,1,1,,
Cebuella_pygmaea,Pygmy Marmoset,4.7,0.0145,0.1100,0.1318181818,N,N,1.9,3.0,16.0,16.0,Y,Y,Y,Y,Y,Y,N,N,N,HAR,N,N,N,Y,N,Y,N,Y,VU,,,0,0,0,,
Cebus_albifrons,White-fronted Capuchin,5.7,0.23192,2.3000,0.1008347826,N,Y,1.0,9.0,46.3,43.7,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,LC,,,0,1,1,,
Sapajus_apella,Tufted Capuchin,5.2,0.21,2.3500,0.08936170213,Y,Y,1.1,13.9,57.6,78.0,N,N,Y,Y,Y,Y,N,N,N,HAR,Y,N,N,Y,Y,Y,N,Y,LC,,,1,1,1,,
Cebus_capucinus,White-headed Capuchin,5.4,0.23836,2.2500,0.1059377778,N,Y,1.0,17.1,50.2,97.4,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,Y,Y,Y,N,N,Y,VU,,,1,1,1,,
Cebus_olivaceus,Weeper Capuchin,5.1,,2.6500,,N,Y,1.0,18.0,76.0,88.0,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,Y,N,Y,Y,Y,N,N,LC,,,1,1,1,,
Cephalorhynchus_hectori,Hector's Dolphin,10.6,,50.0000,,N,Y,1.0,11.9,93.3,84.0,N,N,Y,N,Y,Y,N,Y,Y,MBG,N,N,Y,N,N,N,N,N,EN,,,0,0,0,,
Ceratotherium_simum,White Rhinoceros,16.5,49.75,2300.0000,0.02163043478,N,Y,1.0,19.0,67.5,54.8,Y,Y,Y,N,Y,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,NT,,SS,0,0,0,,
Cercocebus_torquatus,Collared Mangabey,5.6,0.4,6.3000,0.06349206349,Y,Y,1.0,7.0,38.2,44.0,Y,N,Y,N,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,EN,,,1,1,1,,
Cercopithecus_ascanius,Red-tailed Monkey,5.5,0.371,2.9000,0.1279310345,N,Y,1.0,5.5,48.0,72.0,Y,Y,Y,N,Y,Y,N,N,N,HAR,Y,N,N,Y,Y,Y,N,Y,LC,,,0,0,0,,
Cercopithecus_diana,Diana Monkey,5.5,0.4669,3.8530,0.1211783026,N,Y,1.0,12.1,48.0,63.0,Y,Y,Y,N,Y,Y,N,N,N,HAR,Y,N,N,Y,Y,N,N,N,EN,,SS,0,0,0,,
Cercopithecus_mitis,Blue Monkey,5.5,0.402,4.2100,0.09548693587,Y,Y,1.0,,61.5,55.8,,,Y,N,Y,Y,N,N,N,HAR,Y,N,N,Y,Y,Y,N,N,LC,,,0,0,0,,
Cerdocyon_thous,Crab-eating Fox,1.9,0.14,6.5000,0.02153846154,N,N,3.5,2.7,9.2,9.1,Y,Y,N,Y,Y,N,N,N,N,MOP,N,Y,Y,Y,Y,N,N,N,LC,N,,0,0,0,,
Cervus_canadensis,Wapiti (Elk),8.2,14,185.0000,0.07567567568,Y,Y,1.0,7.5,22.0,16.0,N,N,Y,N,N,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,,0,0,0,,
Cervus_elaphus,Red Deer (see comments),7.8,8.75,97.5000,0.08974358974,Y,Y,1.1,7.5,16.0,16.0,N,N,Y,N,N,Y,N,N,Y,HBG,Y,N,N,N,Y,Y,N,N,LC,,,1,1,1,,
Cervus_nippon,Sika,7.5,5,55.0000,0.09090909091,Y,Y,1.0,6.0,17.3,16.7,N,N,Y,N,N,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,LC,,SS,0,1,1,,
Cheirogaleus_medius,Lesser Dwarf Lemur,2.1,0.01465,0.1350,0.1085185185,N,N,2.0,2.0,15.0,15.0,N,Y,N,Y,N,N,N,N,N,MOP,Y,N,N,N,Y,Y,N,Y,VU,N,SMG,0,0,0,,
Chlorocebus_aethiops,Grivet,6.0,0.3259,3.2000,0.1018421875,N,Y,1.0,7.3,44.0,60.8,,,Y,N,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,LC,,,1,1,1,,
Chlorocebus_pygerythrus,Vervet Monkey,6.0,0.3259,3.2000,0.1018421875,N,Y,1.0,7.1,60.0,60.8,,Y,Y,N,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,LC,,,0,1,1,,
Colobus_guereza,Mantled Guereza,5.2,0.44492,7.8970,0.05634038242,N,Y,1.0,12.9,48.0,60.0,Y,N,Y,Y,Y,Y,N,N,Y,HBG,Y,N,N,N,Y,Y,N,Y,LC,,,0,0,0,,
Connochaetes_taurinus,Blue Wildebeest,8.3,18.04436,190.0000,0.09497031579,Y,Y,1.0,8.2,17.2,30.4,N,Y,Y,N,N,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,,
Cricetus_cricetus,Common Hamster,0.6,0.0053,0.3730,0.01420911528,N,N,8.4,0.9,2.9,1.9,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,Y,N,Y,N,Y,CR,N,,0,0,0,,
Crocidura_russula,Greater White-toothed Shrew,1.0,0.0008,0.0095,0.08421052632,N,N,4.0,0.5,1.9,2.8,N,Y,N,Y,N,N,N,N,N,MOP,N,N,N,Y,N,N,N,Y,LC,N,,0,0,0,,
Crocuta_crocuta,Spotted Hyena,3.7,1,50.0000,0.02,N,N,1.9,13.5,32.0,24.0,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,N,N,Y,N,LC,,,1,0,1,,
Cuon_alpinus,Dhole,2.1,0.275,11.5000,0.02391304348,N,N,4.3,1.7,24.0,24.0,N,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,Y,N,N,N,N,EN,,,0,1,1,,
Cynomys_ludovicianus,Black-tailed Prairie Dog,1.1,0.01524,0.8190,0.01860805861,N,N,4.4,1.5,26.6,24.3,N,Y,Y,Y,Y,Y,N,N,N,HAR,Y,N,N,N,N,N,N,N,LC,,,0,0,0,,
Cynopterus_sphinx,Greater Short-nosed Fruit Bat,4.0,0.01225,0.0490,0.25,N,Y,1.0,1.8,7.5,17.5,N,Y,Y,N,N,Y,N,N,N,HAR,N,N,N,N,Y,N,N,N,LC,,"DI, SS",0,0,0,,
Cystophora_cristata,Hooded Seal,11.2,20.5,200.0000,0.1025,Y,Y,1.0,0.1,36.5,60.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,VU,Y,"DI, OG",0,0,0,,
Dama_dama,Fallow Deer,7.7,4.5,42.0000,0.1071428571,Y,Y,1.0,8.5,16.0,16.0,N,N,Y,N,Y,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,LC,,,1,0,1,,
Damaliscus_lunatus,Common Tsessebe,7.9,11,147.0000,0.07482993197,N,Y,1.0,,21.3,41.0,N,Y,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,,
Dasypus_novemcinctus,Nine-banded Armadillo,4.2,0.09648,4.5000,0.02144,N,N,4.0,1.4,12.8,12.2,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,Y,LC,N,DI,0,0,0,,
