Species,Common_Name,GP,BM,AFM,MR,RDM,TSP,PC,FWA,FAM,MAM,NB,SDT,GL,SPI,NAC,GIM,GFE,MMC,BG,MGS,DHE,DCA,DPMI,DIN,DFR,DGR,DCE,DMOC,IUCN,SOG,Modifiers,FSSB,MSSB,SSB,Column Name Key,Mating Group Structures Key
Dasyurus_maculatus,Tiger/ Spotted-tailed Quoll,0.7,0.00005,1.7000,0.00002941176471,Y,N,4.5,4.5,12.2,11.3,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,Y,N,N,Y,N,NT,N,,0,0,0,,
Daubentonia_madagascariensis,Aye-aye,5.6,0.12179,2.4500,0.04971020408,N,Y,1.0,6.6,29.4,30.0,Y,Y,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,Y,N,Y,EN,Y,"SMG, OG",0,0,0,,
Delphinus_delphis,Short-beaked Common Dolphin,10.9,7.06965,78.0000,0.09063653846,N,Y,1.0,12.7,60.0,69.0,N,N,Y,N,Y,Y,N,Y,Y,MBG,N,N,Y,N,N,N,N,N,LC,,,0,0,0,,
Desmodus_rotundus,Common Vampire Bat,7.0,0.00694,0.0350,0.1982857143,N,Y,1.0,8.0,9.5,9.5,Y,N,Y,N,Y,Y,N,Y,N,MMG,N,Y,N,N,N,N,N,N,LC,,,1,1,1,,
Dicerorhinus_sumatrensis,Sumatran Rhinoceros,15.5,22.8495,775.0000,0.02948322581,N,Y,1.0,18.0,78.0,78.0,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,CR,N,,0,0,0,,
Diceros_bicornis,Black Rhinoceros,15.5,35,1050.0000,0.03333333333,N,Y,1.0,23.0,60.9,75.1,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,Y,N,N,N,CR,N,,0,0,0,,
Dicrostonyx_groenlandicus,Nearctic Collared Lemming,0.7,0.0038,0.0830,0.04578313253,N,N,3.6,0.6,1.3,2.8,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,Y,N,N,N,LC,N,,0,1,1,,
Didelphis_marsupialis,Common Opossum,0.5,0.00016,1.1500,0.0001391304348,N,N,6.6,3.1,6.5,8.0,Y,N,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,Y,Y,Y,LC,N,,0,0,0,,
Didelphis_virginiana,Virginia Opossum,0.4,0.00015,1.9000,0.00007894736842,N,N,7.6,3.4,6.1,8.1,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,Y,Y,Y,LC,Y,OG,0,0,0,,
Dipodomys_merriami,Merriam's Kangaroo Rat,1.0,0.00329,0.0400,0.08225,N,N,2.4,0.7,3.4,,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,Y,N,Y,N,N,LC,N,,0,0,0,,
Dipodomys_spectabilis,Banner-tailed Kangaroo Rat,0.8,0.0075,0.1100,0.06818181818,N,N,2.7,0.7,2.0,2.0,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,Y,N,Y,N,N,NT,Y,OG,0,0,0,,
Eira_barbara,Tayra,2.2,0.1,4.6000,0.02173913043,N,N,2.1,3.1,22.0,18.0,Y,N,N,N,N,N,N,N,N,SO,N,Y,N,Y,Y,N,Y,N,LC,Y,OG,0,0,0,,
Elaphurus_davidianus,Pere David's Deer,9.5,11.5,155.0000,0.07419354839,Y,Y,1.2,8.0,20.0,,N,N,Y,N,Y,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,EW,,,0,1,1,,
Elephas_maximus,Asian Elephant,22.0,98.5,2720.0000,0.03621323529,Y,Y,1.0,18.0,180.0,180.0,Y,Y,Y,N,Y,Y,Y,N,N,FEG,Y,N,N,N,Y,Y,N,N,EN,,,1,1,1,,
Enhydra_lutris,Sea Otter,7.6,1.89437,21.5000,0.08811023256,N,Y,1.0,6.0,48.0,66.0,Y,Y,Y,N,N,Y,Y,N,Y,SSG,N,N,Y,N,N,N,N,N,EN,,"AS, DI",0,1,1,,
Eptesicus_fuscus,Big Brown Bat,1.9,0.00321,0.0190,0.1689473684,N,N,1.9,1.2,10.0,10.0,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,Y,"OG, MC, DI",0,0,0,,
Eptesicus_serotinus,Common Serotine,1.7,0.00528,0.0220,0.24,N,Y,1.1,1.6,18.0,,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,Y,"OG, MC, DI",0,1,1,,
Equus_hemionus,Onager (Asiatic Wild Ass),11.0,,225.0000,,N,Y,1.0,15.2,38.6,39.6,N,Y,Y,N,N,Y,Y,N,Y,SSG,Y,N,N,N,N,Y,N,N,NT,,,0,0,0,,
Equus_przewalskii,Przewalskii's Horse,11.5,,250.0000,,N,Y,1,,24.0,36.0,N,N,Y,N,N,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,EN,,,1,1,1,,
Equus_quagga,Plains Zebra,12.2,32.0000,280.0000,0.1142857143,N,Y,1.0,6.0,30.2,30.0,Y,N,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,NT,,,1,1,1,,
Equus_zebra,Mountain Zebra,12.1,29.49668,310.0000,0.09515058065,N,Y,1.0,10.1,33.6,42.6,Y,N,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,VU,,,1,1,1,,
Erignathus_barbatus,Bearded Seal,9.5,34.53693,350.0000,0.09867694286,N,Y,1.0,0.6,66.0,78.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,N,DI,0,0,0,,
Erinaceus_europaeus,West European Hedgehog,1.1,0.01554,0.5410,0.0287245841,N,N,4.4,1.2,8.9,8.4,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,N,N,Y,NT,N,,0,0,0,,
Erythrocebus_patas,Patas Monkey,5.6,0.62167,5.5000,0.1130309091,Y,Y,1.0,6.3,36.0,54.0,N,N,Y,N,Y,Y,N,N,Y,HBG,Y,Y,N,Y,Y,Y,N,N,NT,,,1,1,1,,
Eschrichtius_robustus,Gray Whale,12.0,800,24500.0000,0.03265306122,N,Y,1.0,8.0,108.0,108.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,N,"MC, SMG",1,1,1,,
Eubalaena_australis,Southern Right Whale,12.4,1409.67713,45000.0000,0.03132615844,N,Y,1.0,7.5,109.5,,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,Y,"OG, SMG",1,1,1,,
Eubalaena_glacialis,North Atlantic Right Whale,12.5,800,55000.0000,0.01454545455,N,Y,1.0,11.5,96.0,97.3,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,CR,Y,"OG, SMG",1,1,1,,
Eulemur_rufus,Red-fronted Lemur,4.0,0.0809,1.6000,0.05053125,Y,Y,1.0,5.1,21.6,18.3,,,Y,,,Y,,,,#N/A,,,,,,,,,VU,,,0,0,0,,
Eumetopias_jubatus,Steller Sea Lion,9.0,20,273.0000,0.07326007326,Y,Y,1.0,11.0,54.0,80.7,N,N,Y,N,N,Y,N,Y,N,MMG,N,Y,Y,N,N,N,N,N,NT,,"DI, SS",0,0,0,,
Felis_silvestris,Wildcat,2.0,0.1064,4.0000,0.0266,N,N,2.5,3.0,10.3,12.0,Y,Y,N,N,N,N,N,N,N,SO,N,Y,N,Y,N,N,N,N,LC,N,,0,1,1,,
Gazella_gazella,Mountain Gazelle,5.9,2.12499,23.0000,0.09239086957,Y,Y,1.3,3.5,18.0,17.0,N,Y,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,EN,,SS,0,0,0,,
Genetta_genetta,Common Genet,2.5,0.07775,1.8000,0.04319444444,N,N,2.3,4.0,22.0,22.0,N,N,N,N,N,N,N,N,N,SO,N,Y,N,Y,Y,N,N,N,LC,Y,OG,0,0,0,,
Giraffa_camelopardalis,Giraffe,15.2,100,815.0000,0.1226993865,Y,Y,1.3,12.0,54.0,42.0,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,VU,Y,OG,1,1,1,,
Glis_glis,Fat Dormouse,0.8,0.0015,0.1200,0.0125,N,N,5.5,0.9,10.8,11.2,N,Y,N,N,Y,N,N,N,N,SO,Y,N,N,N,Y,Y,N,Y,LC,Y,OG,0,0,0,,
Globicephala_macrorhynchus,Short-finned Pilot Whale,15.5,60.0000,1500.0000,0.04,Y,Y,1.0,36.0,102.0,177.7,Y,N,Y,N,Y,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,,,0,0,0,,
Globicephala_melas,Long-finned Pilot Whale,12.0,75,1300.0000,0.05769230769,Y,Y,1.0,36.0,96.0,146.0,Y,N,Y,N,Y,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,,,0,0,0,,
Glossophaga_soricina,Pallas's Long-tongued Bat,3.6,0.0026,0.0112,0.2321428571,N,Y,1.0,2.0,,,N,N,Y,N,N,Y,N,Y,N,MMG,N,N,N,Y,Y,Y,N,N,LC,,AS,0,0,0,,
Gorilla_beringei,Eastern Gorilla,8.5,2.0775,79.0000,0.02629746835,Y,Y,1.0,33.6,103.0,120.0,Y,N,Y,N,Y,Y,N,N,N,HAR,Y,N,N,N,Y,N,N,N,CR,,SS,1,1,1,,
Gorilla_gorilla,Western Gorilla,8.6,2.09589,65.0000,0.03224446154,Y,Y,1.1,54.0,120.0,216.0,Y,N,Y,N,Y,Y,N,N,N,HAR,Y,N,N,Y,Y,N,N,N,CR,,SS,1,1,1,,
Grampus_griseus,Risso's Dolphin,13.5,25.0000,450.0000,0.05555555556,N,Y,1.0,15.2,108.0,132.0,Y,N,Y,N,Y,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,,SS,0,0,0,,
Gulo_gulo,Wolverine,8.0,0.08602,9.0000,0.009557777778,N,N,2.8,1.9,25.2,25.9,N,N,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,Y,N,LC,N,DI,0,0,0,,
Halichoerus_grypus,Gray Seal,9.7,15.5,145.0000,0.1068965517,Y,Y,1.0,0.6,48.0,72.0,N,N,N,N,N,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,N,"DI, MA, AS",1,1,1,,
Helarctos_malayanus,Sun bear,3.3,0.32499,50.0000,0.0064998,N,Y,1.1,3.0,33.0,33.0,Y,N,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,N,N,Y,VU,Y,"OG, DI",0,0,0,,
Helogale_parvula,Common Dwarf Mongoose,1.8,,0.2920,,N,N,2.5,1.4,22.0,,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,N,N,N,Y,N,N,N,Y,LC,,,1,1,1,,
Hippopotamus_amphibius,Common Hippopotamus,7.8,40.19999,2500.0000,0.016079996,N,Y,1.0,10.9,55.2,42.6,Y,Y,Y,N,N,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,VU,,,0,0,0,,
Hippotragus_equinus,Roan Antelope,9.3,16.4,247.5000,0.06626262626,N,Y,1.0,6.1,24.3,27.1,Y,Y,Y,N,N,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,LC,,SS,1,0,1,,
Hippotragus_niger,Sable Antelope,8.6,16.4,170.0000,0.09647058824,Y,Y,1.0,7.0,25.6,18.0,Y,Y,Y,N,N,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,,
Hoolock_hoolock,Hoolock Gibbon,7.8,,6.1000,,Y,Y,1.0,24.0,85.2,85.2,N,N,N,Y,N,N,N,N,N,MOP,Y,N,N,N,Y,Y,N,Y,EN,N,,0,0,0,,
Parahyaena_brunnea,Brown Hyena,3.2,0.69309,40.0000,0.01732725,N,N,2.3,14.0,33.3,35.0,Y,Y,Y,N,Y,Y,N,N,N,HAR,N,Y,N,N,Y,N,Y,N,NT,,SS,0,0,0,,
Hyaena_hyaena,Striped Hyena,3.0,0.7,30.0000,0.02333333333,N,N,2.4,13.0,28.5,26.7,Y,N,N,Y,N,N,N,N,N,MOP,N,Y,N,N,Y,N,Y,N,NT,Y,OG,0,0,0,,
Hydrochoerus_hydrochaeris,Capybara,4.5,1.5,50.0000,0.03,Y,N,3.5,3.7,15.3,15.2,Y,N,Y,Y,N,Y,N,Y,N,MMG,Y,N,N,N,N,N,N,N,LC,,,0,0,0,,
Hydrurga_leptonyx,Leopard seal,9.3,30,410.0000,0.07317073171,N,Y,1.0,0.8,54.0,54.0,N,N,N,N,N,N,N,N,N,SO,N,Y,Y,N,N,N,N,N,LC,N,,0,0,0,,
Hylobates_lar,Lar Gibbon,6.0,0.383,5.0000,0.0766,N,Y,1.0,28.0,102.0,102.0,Y,Y,N,Y,Y,N,N,N,N,MOP,Y,N,N,Y,Y,N,N,Y,EN,Y,OG,0,1,1,,
Hylobates_moloch,Silvery Javan Gibbon,7.6,0.3165,6.2000,0.05104112903,N,Y,1.0,20.0,108.0,108.0,Y,Y,N,Y,Y,N,N,N,N,MOP,Y,N,N,N,Y,N,N,Y,EN,N,,0,0,0,,
Indri_indri,Indri,4.7,0.3000,7.4000,0.04054054054,N,Y,1.0,11.0,96.0,96.0,N,Y,N,Y,N,N,N,N,N,MOP,Y,N,N,N,Y,Y,N,N,CR,Y,OG,0,0,0,,
Isoodon_macrourus,Northern Brown Bandicoot,0.4,0.00017,0.7000,0.0002428571429,Y,N,3.3,2.0,3.5,6.0,Y,Y,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,Y,N,Y,LC,N,,0,0,0,,
Isoodon_obesulus,Southern Brown Bandicoot,0.5,0.00034,0.9000,0.0003777777778,N,N,2.8,2.0,4.5,6.0,Y,Y,N,N,N,N,N,N,N,SO,N,N,N,Y,Y,Y,N,Y,LC,N,,0,0,0,,
Kobus_ellipsiprymnus,Waterbuck,8.3,13.5,170.0000,0.07941176471,N,Y,1.0,7.1,30.0,48.0,Y,Y,Y,N,N,Y,Y,N,Y,SSG,Y,N,N,N,N,N,N,N,LC,,SS,1,0,1,,
Kogia_breviceps,Pygmy Sperm Whale,11.2,53,511.0000,0.1037181996,N,Y,1.0,9.0,60.0,45.0,N,N,N,N,N,N,N,N,N,SO,N,N,Y,N,N,N,N,N,LC,Y,OG,0,0,0,,
Lagenorhynchus_albirostris,White-beaked Dolphin,11.2,40.0000,255.0000,0.1568627451,N,Y,1.0,18.3,104.4,139.2,N,N,Y,N,N,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,,,0,0,0,,
Lagenorhynchus_obscurus,Dusky Dolphin,13.0,9.6,78.5000,0.1222929936,N,Y,1.0,12.2,60.9,60.9,N,N,Y,N,Y,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,,MC,0,0,0,,
Lagothrix_lagotricha,Brown Woolly Monkey,7.5,0.35,6.0000,0.05833333333,N,Y,1.0,11.2,72.0,96.0,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,N,VU,,,0,0,0,,
Lama_guanicoe,Guanaco,11.7,13,115.0000,0.1130434783,N,Y,1.0,7.0,24.0,24.0,N,Y,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,,
Lasionycteris_noctivagans,Silver-haired Bat,1.8,0.00192,0.0096,0.2,N,N,1.8,1.2,5.1,5.1,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,Y,"OG, MC, DI",0,0,0,,
Lasiurus_borealis,Eastern Red Bat,2.8,0.0015,0.0130,0.1153846154,N,N,2.3,1.3,,,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,N,DI,0,0,0,,
Lasiurus_cinereus,Hoary Bat,1.9,0.00512,0.0280,0.1828571429,N,N,2.0,1.2,,,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,N,DI,0,0,0,,
Lemur_catta,Ring-tailed Lemur,4.5,0.0758,2.2000,0.03445454545,N,Y,1.2,3.0,18.0,18.0,N,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,N,N,Y,EN,,,0,0,0,,
Leontopithecus_rosalia,Golden Lion Tamarin,4.3,0.05189,0.7950,0.06527044025,N,N,1.9,3.5,23.0,25.5,N,N,N,Y,Y,N,N,N,N,MOP,N,N,N,Y,Y,Y,N,Y,EN,N,,1,1,1,,
Leopardus_pardalis,Ocelot,2.7,0.25,9.0000,0.02777777778,N,N,1.3,3.5,22.1,20.0,Y,N,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Leptonychotes_weddellii,Weddell Seal,10.5,27.5,500.0000,0.055,N,Y,1.0,1.2,51.1,52.9,N,N,N,N,N,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,N,"DI, MA, AS",0,0,0,,
Lepus_americanus,Snowshoe Hare,1.2,0.06784,1.3500,0.05025185185,N,N,3.5,0.8,8.6,,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,N,SMG,0,0,0,,
Lepus_capensis,Cape Hare,1.4,0.11409,2.1000,0.05432857143,N,N,1.5,0.9,6.7,,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"SMG, OG",0,0,0,,
Lepus_europaeus,European Hare,1.4,0.123,4.2500,0.02894117647,N,N,3.3,1.0,7.6,6.0,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"SMG, OG",0,0,0,,
Lepus_timidus,Mountain Hare,1.7,0.11349,2.9000,0.03913448276,N,N,3.2,0.8,8.9,8.9,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,N,N,N,N,LC,,SMG,0,0,0,,
Lontra_canadensis,North American River Otter,2.0,0.13594,7.8500,0.01731719745,N,N,2.7,3.0,24.3,24.3,N,N,Y,N,N,Y,Y,N,Y,SSG,N,N,Y,N,N,N,N,Y,LC,,DI,0,0,0,,
Lophocebus_albigena,Gray-cheeked Mangabey,6.2,0.49858,5.6000,0.08903214286,N,Y,1.0,8.5,36.0,72.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,VU,,,1,0,1,,
Loxodonta_africana,African Savanna Elephant,22.0,105,2800.0000,0.0375,Y,Y,1.0,36.3,141.8,150.0,N,Y,Y,N,Y,Y,Y,N,Y,SSG,Y,N,N,N,Y,Y,N,N,EN,,SS,1,1,1,,
Lutra_lutra,European Otter,2.0,0.13,7.5000,0.01733333333,N,N,2.5,3.4,30.0,30.0,N,Y,Y,N,N,Y,Y,N,N,FEG,N,N,Y,N,N,N,N,Y,NT,,,0,0,0,,
Lycaon_pictus,African wild dog,2.4,0.325,22.2500,0.01460674157,N,N,10.5,2.0,23.5,21.3,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,N,N,N,N,EN,,,0,0,0,,
Lynx_canadensis,Canadian Lynx,2.1,0.204,8.6000,0.02372093023,N,N,4.5,3.0,17.9,19.1,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Lynx_lynx,Eurasian Lynx,2.3,0.289,22.0000,0.01313636364,N,N,2.3,2.7,22.0,33.5,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Lynx_pardinus,Iberian Lynx,2.3,,10.0000,,N,N,2.5,,,,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,VU,N,,0,0,0,,
Lynx_rufus,Bobcat,2.0,0.35,7.5000,0.04666666667,N,N,2.8,2.3,21.3,24.0,Y,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Macaca_arctoides,Stump-tailed Macaque,5.9,0.495,8.1430,0.06078840722,N,Y,1.0,12.0,42.0,48.0,Y,,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,VU,,SS,1,1,1,,
Macaca_fascicularis,Crab-eating Macaque,5.5,0.33285,3.5880,0.09276755853,N,Y,1.0,15.0,42.6,66.0,N,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,Y,Y,Y,N,N,Y,EN,,,1,1,1,,
Macaca_fuscata,Japanese Macaque,5.8,0.542,10.3480,0.05237727097,N,Y,1.2,8.8,60.0,54.0,N,Y,Y,N,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,LC,,,1,1,1,,
Macaca_mulatta,Rhesus Monkey,5.5,0.4894,5.3390,0.09166510583,N,Y,1.0,9.9,54.0,78.0,N,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,LC,,SS,1,1,1,,
Macaca_nemestrina,Southern Pig-tailed Macaque,5.7,0.47725,6.5000,0.07342307692,Y,Y,1.0,10.8,36.0,54.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,N,EN,,SS,1,1,1,,
Macaca_nigra,Celebes Crested Macaque,5.7,0.45777,6.7000,0.0683238806,N,Y,1.0,12.2,56.9,,Y,N,Y,N,N,Y,N,Y,N,MMG,N,N,N,Y,Y,N,N,Y,CR,,SS,1,1,1,,
Macaca_radiata,Bonnet Macaque,5.4,0.36752,3.8510,0.09543495196,N,Y,1.0,10.0,36.0,36.0,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,VU,,,1,1,1,,
Macaca_silenus,Lion-tailed Macaque,5.8,0.41611,3.5000,0.1188885714,N,Y,1.0,9.0,50.8,96.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,Y,N,Y,Y,Y,N,N,EN,,SH,1,1,1,,
Macaca_sylvanus,Barbary Macaque,5.5,0.44985,11.9000,0.03780252101,N,Y,1.0,7.0,48.6,66.9,N,N,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,EN,,,1,1,1,,
Macaca_tonkeana,Tonkean Macaque,5.7,,9.5000,,N,Y,1.0,,54.0,,N,N,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,N,N,N,VU,,,1,1,1,,
Notamacropus_eugenii,Tammar Wallaby,0.9,0.00044,5.0000,0.000088,N,Y,1.0,10.5,9.0,24.3,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,N,N,N,N,LC,,,0,0,1,,
Macropus_fuliginosus,Western Grey Kangaroo,1.0,0.00086,28.0000,0.00003071428571,Y,Y,1.0,17.5,14.0,20.0,Y,N,Y,N,N,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,LC,,SS,0,1,1,,
Macropus_giganteus,Eastern Grey Kangaroo,1.2,0.00084,30.0000,0.000028,Y,Y,1.0,17.0,18.0,42.0,Y,N,Y,N,N,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,LC,,SS,1,1,1,,
Osphranter_robustus,Common Wallaroo,1.1,0.0007,24.0000,0.00002916666667,Y,Y,1.0,16.0,14.0,18.0,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"OG, SMG",0,0,1,,
